feature,mean_abs_shap
Charge,0.07870532316576666
Isoelectric_Point,0.07246829355439677
D,0.032511945747800385
K,0.031981494125536226
S,0.03196086304069582
E,0.01765036595424504
Molecular_Weight,0.014043290389548919
I,0.012411787867400862
W,0.011757383372177762
R,0.011481452489685212
Length,0.009590791541510166
P,0.00878757050940192
Flexibility,0.0076308347480110224
Q,0.007135431679710389
G,0.006117235565871954
A,0.005670069197718069
Y,0.004612663345375897
Turn,0.004513388283609104
Helix,0.004333450782334368
Hydrophobicity,0.004198364226292839
H,0.004069496460144417
Sheet,0.004027061850568152
N,0.0036696451093084282
L,0.003465387861119765
V,0.002259670021399741
Number_of_Disulfide_Bridges,0.002153747943963977
F,0.0019055856174310722
C,0.0015334585235350971
Number_of_Cysteines,0.0014216913041328865
T,0.00138763768454042
M,0.0009617592029753037
