feature,importance_mean,importance_std
Charge,0.024355221035307184,0.01162613102772793
S,0.01898755941176512,0.0069386592526015775
Isoelectric_Point,0.018937331218754194,0.02032364169888817
K,0.018655804144001486,0.006843289156466444
Helix,0.013320341968158723,0.003933240196022314
Y,0.011997341348002965,0.0042802142028077785
R,0.011667787656192464,0.0029127725387648996
Length,0.011101592401562544,0.0030597536646059633
I,0.010112497561235046,0.010453151424881584
H,0.008833795958957679,0.0023414436195311633
Sheet,0.008348329430659518,0.0016640943506190404
G,0.00722241122455326,0.003600558165820507
Hydrophobicity,0.007098645871902254,0.001453477408150852
Molecular_Weight,0.006650711739757642,0.001965239462184458
Flexibility,0.006565553853833617,0.0025534587175813847
E,0.006088253126653831,0.004938350751562955
T,0.006048340476556613,0.0033192405558741672
P,0.005868421466769902,0.0024026379513899664
L,0.005815146416280637,0.002627207787135149
A,0.00514830715333151,0.002398648858489383
Q,0.00453292872977481,0.0029412076907204695
D,0.004418642147769214,0.009356873465086396
F,0.003923865773731394,0.0026296750260376735
N,0.003646299891200877,0.0021431276589388144
V,0.0033447592105437128,0.0018153637515971703
W,0.003098961529963362,0.0010708473809912583
Turn,0.0025462757154628645,0.0013232501173166577
C,0.0003157186229019726,0.0010105805557219071
M,0.00015191613679319538,0.0005065152139216526
Number_of_Cysteines,0.00014514439561695846,0.0004736605188059938
Number_of_Disulfide_Bridges,9.308586813294716e-06,2.562801479086901e-05
